source;target
336399;228159
5659;851259
160098;159724
124208;97971
882778;7689
614850;220386
973345;180029
729274;784790
295440;620993
770523;13733
156511;342544
149979;150090
1024197;1024206
946541;1045484
895152;895152
10967;39839
835953;470548
159672;160123
866709;866749
470550;842281
341258;318804
765730;5581
844381;838731
847462;838722
130316;70817
840284;698536
381798;380251
122282;42854
398561;861711
70627;977091
723613;727694
1056469;1056457
654173;651274
1092943;4008
837429;836878
149993;150297
381886;381849
776206;812849
917433;965651
971522;989444
924235;1101326
153266;153061
592154;52851
9967;8445
381628;378885
882450;340586
947260;58583
20442;947744
681635;681772
704927;667685
611921;620993
7751;15585
971593;986565
341488;319238
154547;154264
454508;643804
149251;149287
917585;922045
790771;763052
171191;205668
793701;793676
153108;153768
1103174;1089887
686981;1017330
149291;149159
770998;87438
857600;716617
267550;531493
675768;152937
549599;103
1073523;386494
298520;319639
473713;3600
381838;381762
1056595;1071123
973189;971335
342377;913841
745223;876462
294660;391
5167;37
830401;1011487
452562;8574
727762;86785
10506;4099
851304;847504
153061;153323
847440;854199
159735;160326
10107;6826
160150;159670
139042;46349
760859;884918
1056472;1054912
898155;898161
761665;756017
598795;223430
309048;67444
103961;3075
377675;4008
122399;121786
755501;194669
747636;658025
989193;989412
481498;938799
474109;299898
776847;103
24417;3049
1052617;834405
752188;776760
224621;695589
749713;749605
319362;21820
856081;776128
9965;8327
844878;811006
746006;2906
150368;150078
835081;349246
963450;896316
29644;60244
470537;698541
33943;540287
548626;233774
989354;971871
1003625;17237
40992;191995
381762;381788
318804;328944
373524;373921
338638;935559
950341;1045487
920129;291
354103;393854
846087;836878
20959;3597
61998;136970
978945;966131
227270;74119
833113;973177
153197;153606
65909;542646
117177;168925
851671;852899
859637;973202
849178;470514
76001;1023390
894662;892839
159955;160328
148875;148736
153087;153499
131638;81451
830054;1035104
159768;159625
294717;351197
583618;563786
122950;349286
153075;153198
381824;381800
907688;13404
357333;653507
159678;160157
1008374;297703
999981;343112
257564;256440
450665;610535
155053;155001
117353;28383
154699;154554
8412;13953
1031014;15437
760858;756063
957177;84687
389735;398992
985747;989421
321039;1025740
155582;155622
41364;62414
760863;758210
154196;139769
673992;161836
675783;675782
921133;934140
146730;7877
456366;258509
710391;545282
477757;1054601
298587;5695
933686;987955
9840;9903
946538;1045461
290502;3772
423396;364613
761731;760256
33357;135416
481095;566
103307;342383
90468;32580
689127;692133
149556;149572
848957;855616
381603;381808
382148;952091
890090;989213
848880;849242
135697;576322
1049036;19250
204871;4015
449769;388322
1030069;1030250
7868;1016652
952329;999284
445589;27105
381784;380378
219385;222410
798239;800792
293872;844183
919328;875568
112126;110807
155623;155565
160110;160185
1101121;10193
380339;382002
148922;768698
1034069;1027107
149840;150324
734387;34119
1030081;51950
586653;41309
768260;186
247560;206471
917452;1068514
844325;844324
702893;85055
32350;21991
761712;760257
530776;882110
663235;834869
11262;859598
51210;59641
284126;318038
1033704;870815
756486;761306
153299;153237
766749;770811
758983;760867
946117;592
574269;392064
149843;150279
148892;148952
321553;341352
240367;238048
759283;120
973394;989154
737436;1094101
756254;159839
754565;761643
834940;4003
837682;13404
921133;966029
290358;305560
159628;160235
273739;264179
945506;917570
153046;153463
992975;819426
102001;122022
261791;148159
2815;556683
150290;150272
146721;273171
8528;455545
207782;3516
60181;7517
183632;993990
220559;220499
373968;11192
423686;4868
156906;4003
538500;684375
971337;889298
253096;19418
599744;4109
866109;866115
1027495;276961
788073;680907
806269;244282
470550;849928
935785;921658
158309;156564
19867;28309
729268;871689
842853;273647
114078;935212
180975;758982
148822;148889
33004;530208
940426;917553
154876;153923
150260;150063
836907;482773
1005326;1006672
767173;943794
320690;321543
287742;434319
148647;148820
833205;1047607
968887;60698
153179;153809
159976;159983
516356;351637
976108;887809
168008;456342
85751;604199
312544;475142
72579;166202
290794;243557
911087;651282
21593;19613
989156;873990
156045;156026
673796;342544
164920;1054289
794785;862993
849788;141778
119211;119001
158684;291
1043415;950723
153110;153502
530;170
9899;362810
951599;951606
995532;62233
150393;150366
106216;9407
356539;55000
17478;432009
892871;967527
180360;191214
423987;5113
919752;917234
159821;160238
933722;950529
61804;840093
7174;16317
825163;291
749505;749593
736540;746961
160247;159775
852896;835975
615385;133582
988878;277802
758255;756420
15860;13833
971517;973194
10071;6825
152672;152742
786128;786036
378996;379039
160340;160098
347049;318450
55015;60698
453883;83018
63715;688414
23898;13483
4399;316881
836707;482779
826455;65358
381639;381625
324462;333513
350108;30939
84255;2161
937706;15245
674364;1033586
178;15218
153405;153601
386286;55132
760651;758023
747424;763329
1045222;1043404
462260;130208
1018414;108767
140810;98147
173969;483991
774443;856102
783821;220442
905682;951526
844374;849305
154483;52379
816980;236553
1041275;1045257
322277;590
973490;973748
736025;280
160085;160327
130294;722987
44931;6709
218336;218352
366560;5034
909283;180868
1056559;1056448
919869;921638
1036273;48847
967897;829531
1104781;1103158
331658;823344
971521;889044
317505;219832
300778;9564
446338;452506
